nohup: ignoring input
GPU: True
Data set: LandUse-21
MissRate: [0.1, 0.3, 0.5, 0.7]
shuffle
Epoch 64 Loss:0.388819
Epoch 65 Loss:0.385161
Epoch 66 Loss:0.388597
Epoch 67 Loss:0.387212
Epoch 68 Loss:0.383855
Epoch 69 Loss:0.383232
Epoch 70 Loss:0.385921
Epoch 71 Loss:0.384250
Epoch 72 Loss:0.385519
Epoch 73 Loss:0.381448
Epoch 74 Loss:0.379708
Epoch 75 Loss:0.382472
Epoch 76 Loss:0.382733
Epoch 77 Loss:0.378069
Epoch 78 Loss:0.378469
Epoch 79 Loss:0.376628
Epoch 80 Loss:0.378128
Epoch 81 Loss:0.378568
Epoch 82 Loss:0.374040
Epoch 83 Loss:0.375263
Epoch 84 Loss:0.378582
Epoch 85 Loss:0.373382
Epoch 86 Loss:0.375799
Epoch 87 Loss:0.372966
Epoch 88 Loss:0.375187
Epoch 89 Loss:0.369728
Epoch 90 Loss:0.371412
Epoch 91 Loss:0.373470
Epoch 92 Loss:0.369522
Epoch 93 Loss:0.369678
Epoch 94 Loss:0.368974
Epoch 95 Loss:0.367312
Epoch 96 Loss:0.365833
Epoch 97 Loss:0.370020
Epoch 98 Loss:0.367658
Epoch 99 Loss:0.369058
Epoch 100 Loss:0.367004
Epoch 101 Loss:0.367640
Epoch 102 Loss:0.366542
Epoch 103 Loss:0.361543
Epoch 104 Loss:0.360984
Epoch 105 Loss:0.364789
Epoch 106 Loss:0.364689
Epoch 107 Loss:0.362524
Epoch 108 Loss:0.360516
Epoch 109 Loss:0.360949
Epoch 110 Loss:0.359669
Epoch 111 Loss:0.361764
Epoch 112 Loss:0.359113
Epoch 113 Loss:0.357247
Epoch 114 Loss:0.355572
Epoch 115 Loss:0.355180
Epoch 116 Loss:0.357040
Epoch 117 Loss:0.355554
Epoch 118 Loss:0.355483
Epoch 119 Loss:0.352023
Epoch 120 Loss:0.355909
---------------------------Result of LandUse-21----------------------------
------------------------- MissRate = 0.30--------------------
K-meansClustering: ACC = 0.2952 NMI = 0.3324 ARI = 0.1241
Clustering: ACC = 0.2414 NMI = 0.2534 ARI = 0.0989 PUR = 0.2519
------------------------Training over------------------------
--------------------Missing rate = 0.5--------------------
Epoch 1 Loss:0.005110
Epoch 2 Loss:0.004513
Epoch 3 Loss:0.004466
Epoch 4 Loss:0.004400
Epoch 5 Loss:0.004396
Epoch 6 Loss:0.004353
Epoch 7 Loss:0.004356
Epoch 8 Loss:0.004320
Epoch 9 Loss:0.004295
Epoch 10 Loss:0.004297
Epoch 11 Loss:0.004296
Epoch 12 Loss:0.004307
Epoch 13 Loss:0.004297
Epoch 14 Loss:0.004268
Epoch 15 Loss:0.004257
Epoch 16 Loss:0.004263
Epoch 17 Loss:0.004253
Epoch 18 Loss:0.004263
Epoch 19 Loss:0.004203
Epoch 20 Loss:0.004197
Epoch 21 Loss:0.425913
Epoch 22 Loss:0.423443
